[FimsSendDemon             ; 2:18:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 2:18:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:18:05]Program End.
[FimsReadDemon             ; 2:23:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:23:05]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:23:05]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:23:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:23:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:23:05]Program End.
[FimsSendDemon             ; 2:28:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 2:28:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:28:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 2:28:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 2:28:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:28:05]Program End.
[FimsReadDemon             ; 2:33:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:33:05]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:33:05]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:33:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:33:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:33:05]Program End.
[FimsSendDemon             ; 2:35:03] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 2:35:05]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:35:06]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 2:35:06]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:35:06]Program End.
[FimsSendDemon             ; 2:38:02] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 2:38:03]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:38:04]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 2:38:04]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 2:38:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:38:04]Program End.
[FimsReadDemon             ; 2:43:03] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:43:04]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:43:04]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:43:04]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:43:04]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:43:04]Program End.
[FimsSendDemon             ; 2:48:02] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 2:48:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:48:04]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 2:48:04]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 2:48:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:48:04]Program End.
[FimsReadDemon             ; 2:53:03] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 2:53:05]METS Db CONNECTION !! 
[FimsReadDemon             ; 2:53:05]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 2:53:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 2:53:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 2:53:05]Program End.
[FimsSendDemon             ; 2:58:02] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 2:58:03]METS Db CONNECTION !! 
[FimsSendDemon             ; 2:58:04]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 2:58:04]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 2:58:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 2:58:04]Program End.
[FimsReadDemon             ; 3:03:03] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 3:03:04]METS Db CONNECTION !! 
[FimsReadDemon             ; 3:03:04]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 3:03:04]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 3:03:04]METS Db Dis_Conn !! 
[FimsReadDemon             ; 3:03:04]Program End.
[FimsSendDemon             ; 3:05:04] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 3:05:06]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:05:07]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 3:05:07]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:05:07]Program End.
[FimsSendDemon             ; 3:08:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 3:08:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:08:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 3:08:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 3:08:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:08:05]Program End.
[FimsReadDemon             ; 3:13:03] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 3:13:05]METS Db CONNECTION !! 
[FimsReadDemon             ; 3:13:05]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 3:13:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 3:13:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 3:13:05]Program End.
[FimsSendDemon             ; 3:18:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 3:18:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:18:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 3:18:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 3:18:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:18:05]Program End.
[FimsReadDemon             ; 3:23:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 3:23:06]METS Db CONNECTION !! 
[FimsReadDemon             ; 3:23:06]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 3:23:06]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 3:23:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 3:23:06]Program End.
[FimsSendDemon             ; 3:28:02] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 3:28:03]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:28:04]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 3:28:04]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 3:28:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:28:04]Program End.
[FimsReadDemon             ; 3:33:03] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 3:33:06]METS Db CONNECTION !! 
[FimsReadDemon             ; 3:33:06]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 3:33:06]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 3:33:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 3:33:06]Program End.
[FimsSendDemon             ; 3:35:03] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 3:35:05]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:35:06]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 3:35:06]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:35:06]Program End.
[FimsSendDemon             ; 3:38:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 3:38:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:38:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 3:38:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 3:38:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:38:05]Program End.
[FimsReadDemon             ; 3:43:05] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 3:43:06]METS Db CONNECTION !! 
[FimsReadDemon             ; 3:43:06]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 3:43:06]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 3:43:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 3:43:06]Program End.
[FimsSendDemon             ; 3:48:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 3:48:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:48:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 3:48:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 3:48:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:48:05]Program End.
[FimsReadDemon             ; 3:53:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 3:53:05]METS Db CONNECTION !! 
[FimsReadDemon             ; 3:53:05]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 3:53:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 3:53:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 3:53:05]Program End.
[FimsSendDemon             ; 3:58:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 3:58:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 3:58:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 3:58:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 3:58:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 3:58:05]Program End.
[FimsReadDemon             ; 4:03:03] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 4:03:05]METS Db CONNECTION !! 
[FimsReadDemon             ; 4:03:05]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 4:03:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 4:03:05]METS Db Dis_Conn !! 
